applicant_id,age,employment_type,income_monthly,existing_emi,cibil_score,credit_utilization_pct,recent_dpd_30,inquiries_6m,active_trades,vintage_months,employment_stability_m,secured_mix_ratio,foir_now,pd_12m,default_12m
APL300260,35,Self-Employed,17256.73,0.0,763,85.5,0,1,4,99,12,0.401,0.0,0.5527,0
APL300261,34,Salaried,12049.88,5073.2,591,77.8,0,2,2,54,20,0.142,42.1,0.65,1
APL300262,28,Salaried,28853.67,2364.96,727,96.6,0,2,7,94,6,0.428,8.2,0.65,0
APL300263,21,Salaried,29508.75,0.0,637,93.5,0,1,8,73,7,0.099,0.0,0.65,1
APL300264,27,Self-Employed,23469.84,8254.02,713,106.5,0,0,6,77,18,0.344,35.2,0.65,1
APL300265,38,Gig/Freelance,26195.51,0.0,756,86.0,0,1,2,82,19,0.327,0.0,0.5734,1
APL300266,29,Student/Intern,19851.53,510.44,724,82.9,0,1,4,76,2,0.16,2.6,0.6466,0
APL300267,25,Student/Intern,21017.76,8750.44,639,57.6,0,0,4,79,8,0.053,41.6,0.65,0
APL300268,33,Salaried,46070.36,0.0,734,85.1,0,2,8,52,3,0.354,0.0,0.611,0
APL300269,27,Self-Employed,19163.76,0.0,707,75.4,0,0,8,1,18,0.161,0.0,0.65,1
APL300270,30,Self-Employed,42346.91,3515.52,729,77.3,0,3,3,83,0,0.472,8.3,0.6269,1
APL300271,29,Student/Intern,12000.0,0.0,680,99.4,0,2,8,75,15,0.264,0.0,0.65,1
APL300272,40,Salaried,17546.6,0.0,864,63.3,0,0,10,88,8,0.52,0.0,0.3077,0
APL300273,43,Salaried,27660.37,0.0,697,75.2,0,1,10,94,35,0.592,0.0,0.5944,1
APL300274,32,Salaried,35004.17,4140.11,693,79.4,0,2,4,89,19,0.2,11.8,0.65,1
APL300275,23,Salaried,42641.72,8594.37,675,85.6,0,3,2,12,0,0.121,20.2,0.65,1
APL300276,40,Salaried,17842.82,0.0,566,99.6,0,3,0,61,27,0.0,0.0,0.65,0
APL300277,26,Salaried,53115.04,4501.78,582,92.0,0,3,6,1,13,0.05,8.5,0.65,0
APL300278,22,Self-Employed,12000.0,4590.68,719,57.1,0,1,8,36,0,0.016,38.3,0.6482,1
APL300279,35,Salaried,37146.46,4454.26,762,69.9,0,2,3,46,8,0.193,12.0,0.5799,0
APL300280,32,Salaried,12000.0,1714.69,565,92.6,0,4,4,31,14,0.0,14.3,0.65,1
APL300281,38,Salaried,27216.21,8587.9,630,102.1,0,0,7,63,37,0.044,31.6,0.65,1
APL300282,36,Student/Intern,18688.69,0.0,759,64.6,0,2,5,82,16,0.28,0.0,0.5328,0
APL300283,39,Salaried,35590.32,12447.31,679,80.5,0,4,5,35,37,0.398,35.0,0.65,1
APL300284,22,Salaried,24286.08,0.0,679,54.3,0,5,7,16,16,0.203,0.0,0.65,1
APL300285,25,Self-Employed,96996.22,20516.34,653,100.8,0,5,4,17,11,0.061,21.2,0.65,0
APL300286,21,Self-Employed,23235.28,0.0,848,88.5,0,0,5,96,7,0.549,0.0,0.3783,0
APL300287,32,Salaried,25449.33,1390.76,757,90.3,0,2,8,91,31,0.367,5.5,0.5763,1
APL300288,27,Gig/Freelance,33368.4,0.0,583,99.4,0,4,6,76,2,0.15,0.0,0.65,0
APL300289,34,Gig/Freelance,13624.56,6593.39,571,93.1,0,1,3,14,2,0.0,48.4,0.65,0
APL300290,39,Salaried,38717.28,0.0,687,84.0,0,2,3,86,22,0.308,0.0,0.65,1
APL300291,31,Gig/Freelance,51384.57,14601.36,723,99.4,0,0,7,38,22,0.324,28.4,0.65,1
APL300292,37,Salaried,36161.04,0.0,736,68.0,0,2,4,100,19,0.31,0.0,0.5511,1
APL300293,30,Salaried,57008.44,13935.14,568,146.5,0,2,4,3,10,0.0,24.4,0.65,1
APL300294,31,Salaried,13204.05,9303.82,709,75.3,0,2,5,77,26,0.222,70.5,0.65,0
APL300295,25,Self-Employed,96996.22,20516.34,653,100.8,0,5,4,17,11,0.061,21.2,0.65,0
APL300296,24,Student/Intern,25591.64,3310.69,731,71.6,0,7,5,54,10,0.437,12.9,0.65,0
APL300297,28,Salaried,20843.26,7489.49,771,99.4,0,1,4,61,15,0.184,35.9,0.6361,1
APL300298,31,Self-Employed,15066.78,1222.57,766,59.9,0,4,9,87,25,0.385,8.1,0.5373,1
APL300299,34,Salaried,24689.52,0.0,734,66.4,0,0,2,72,16,0.174,0.0,0.5662,0
APL300300,32,Self-Employed,22271.07,7359.08,777,62.0,0,1,10,66,13,0.405,33.0,0.5106,0
APL300301,28,Salaried,43566.76,11363.76,789,95.6,0,0,7,40,27,0.573,26.1,0.5393,0
APL300302,30,Gig/Freelance,16285.04,0.0,797,73.2,0,0,6,51,17,0.569,0.0,0.4491,1
APL300303,44,Student/Intern,26960.37,3438.19,623,84.2,0,2,3,84,0,0.275,12.8,0.65,1
APL300304,22,Salaried,96360.0,19414.19,745,91.8,0,1,5,109,0,0.459,20.1,0.5919,0
APL300305,30,Self-Employed,19620.48,0.0,786,85.1,0,1,6,85,0,0.465,0.0,0.5148,1
APL300306,35,Gig/Freelance,18842.84,855.68,662,70.7,0,0,3,31,14,0.236,4.5,0.65,1
APL300307,23,Self-Employed,58771.43,18151.09,604,109.4,0,2,4,49,15,0.0,30.9,0.65,1
APL300308,40,Salaried,22203.86,3139.11,665,79.7,0,1,6,80,28,0.267,14.1,0.65,0
APL300309,42,Salaried,47829.41,9571.66,624,112.1,0,2,5,53,10,0.052,20.0,0.65,0
APL300310,40,Self-Employed,31727.61,2233.42,710,82.2,0,2,8,34,45,0.296,7.0,0.65,1
APL300311,21,Salaried,33723.43,0.0,627,77.8,0,1,4,35,0,0.168,0.0,0.65,1
APL300312,31,Student/Intern,21788.71,0.0,813,98.0,0,0,6,78,13,0.416,0.0,0.4771,1
APL300313,42,Self-Employed,17756.65,0.0,788,87.0,0,0,6,91,29,0.387,0.0,0.482,0
APL300314,26,Student/Intern,49299.85,0.0,732,72.2,0,2,4,52,0,0.195,0.0,0.598,1
APL300315,21,Student/Intern,23567.16,0.0,687,74.3,0,3,6,79,8,0.249,0.0,0.65,0
APL300316,35,Salaried,34797.04,9352.56,771,91.5,0,2,2,63,34,0.451,26.9,0.6025,1
APL300317,31,Salaried,20213.68,4880.34,605,72.1,0,2,8,24,10,0.119,24.1,0.65,1
APL300318,30,Salaried,28206.81,3472.0,701,93.2,0,1,5,106,16,0.345,12.3,0.65,1
APL300319,33,Salaried,22167.41,0.0,853,70.4,0,1,0,83,21,0.44,0.0,0.3727,1
APL300320,32,Salaried,33143.57,1101.79,698,59.0,0,2,4,101,10,0.268,3.3,0.612,0
APL300321,30,Salaried,16620.82,12052.77,701,90.4,0,1,5,94,0,0.39,72.5,0.65,1
APL300322,33,Salaried,12000.0,0.0,697,75.6,0,1,2,77,17,0.074,0.0,0.65,0
APL300323,27,Salaried,20139.1,11196.85,672,96.7,0,2,4,36,9,0.101,55.6,0.65,0
APL300324,26,Salaried,14737.26,0.0,654,87.3,0,1,5,27,4,0.046,0.0,0.65,0
APL300325,38,Salaried,48897.08,10118.53,664,105.4,0,1,8,65,26,0.305,20.7,0.65,0
APL300326,30,Salaried,15344.53,3454.42,748,85.8,0,0,8,82,10,0.466,22.5,0.5814,1
APL300327,33,Salaried,31303.93,8361.32,719,56.6,0,1,1,79,0,0.282,26.7,0.6222,0
APL300328,35,Salaried,17309.47,0.0,602,68.8,0,1,7,69,26,0.008,0.0,0.65,1
APL300329,30,Self-Employed,45370.34,0.0,711,65.8,0,0,4,52,6,0.354,0.0,0.573,0
APL300330,29,Salaried,22106.04,3767.37,833,102.4,0,1,2,48,8,0.851,17.0,0.4901,0
APL300331,35,Student/Intern,26399.85,8793.88,822,78.2,0,0,5,107,10,0.423,33.3,0.4376,0
APL300332,40,Salaried,12202.55,10342.39,512,110.2,0,2,8,63,33,0.0,84.8,0.65,1
APL300333,32,Salaried,71927.66,0.0,703,93.8,0,1,4,76,4,0.422,0.0,0.6236,0
APL300334,41,Self-Employed,48158.89,0.0,725,72.2,0,2,5,114,28,0.348,0.0,0.5443,0
APL300335,47,Salaried,44753.65,0.0,773,82.2,0,1,5,120,35,0.544,0.0,0.4494,1
APL300336,27,Salaried,20139.1,11196.85,672,96.7,0,2,4,36,9,0.101,55.6,0.65,0
APL300337,25,Self-Employed,96996.22,20516.34,653,100.8,0,5,4,17,11,0.061,21.2,0.65,0
APL300338,29,Salaried,28036.43,7250.61,714,91.0,0,2,2,39,32,0.443,25.9,0.65,1
APL300339,26,Self-Employed,29400.24,0.0,643,92.4,0,1,6,67,10,0.161,0.0,0.65,1
APL300340,28,Salaried,28705.78,0.0,671,90.4,0,3,6,47,4,0.169,0.0,0.65,1
APL300341,42,Salaried,56144.26,4455.49,691,83.3,0,2,5,47,24,0.479,7.9,0.65,0
APL300342,30,Salaried,38087.97,8467.23,733,71.5,0,1,6,45,17,0.418,22.2,0.6022,1
APL300343,29,Salaried,12000.0,2586.88,695,68.9,0,2,6,35,34,0.177,21.6,0.65,0
APL300344,31,Salaried,41417.35,12439.75,698,91.7,0,1,7,84,24,0.188,30.0,0.65,0
APL300345,40,Self-Employed,34306.59,0.0,688,74.7,0,0,4,93,21,0.249,0.0,0.6233,1
APL300346,32,Salaried,16045.32,489.82,688,96.1,1,1,7,80,23,0.245,3.1,0.65,0
APL300347,24,Gig/Freelance,29760.93,0.0,670,67.2,1,1,6,45,1,0.133,0.0,0.65,1
APL300348,35,Salaried,49613.18,4184.66,688,77.4,0,1,2,71,8,0.055,8.4,0.65,1
APL300349,29,Self-Employed,13973.55,0.0,691,77.6,0,3,8,29,5,0.0,0.0,0.65,0
APL300350,27,Salaried,27084.43,0.0,583,108.9,0,1,9,84,10,0.055,0.0,0.65,0
APL300351,27,Salaried,20139.1,11196.85,672,96.7,0,2,4,36,9,0.101,55.6,0.65,0
APL300352,46,Salaried,29672.44,0.0,583,80.9,0,5,3,51,38,0.179,0.0,0.65,1
APL300353,32,Salaried,15392.2,1995.85,610,95.3,0,3,5,23,25,0.264,13.0,0.65,1
APL300354,45,Gig/Freelance,25382.81,11231.98,728,99.8,0,2,4,116,14,0.202,44.3,0.65,0
APL300355,35,Gig/Freelance,23391.54,1597.75,666,62.8,0,1,4,52,12,0.237,6.8,0.65,0
APL300356,26,Salaried,16252.09,0.0,597,85.6,0,1,8,49,22,0.094,0.0,0.65,1
APL300357,31,Student/Intern,57853.59,0.0,687,60.2,0,2,2,45,10,0.287,0.0,0.6331,1
APL300358,26,Salaried,84601.27,0.0,620,65.2,0,3,4,47,0,0.0,0.0,0.65,1
APL300359,30,Self-Employed,12000.0,3694.88,611,120.4,0,0,6,47,18,0.357,30.8,0.65,1
APL300360,29,Self-Employed,13973.55,0.0,691,77.6,0,3,8,29,5,0.0,0.0,0.65,0
APL300361,26,Gig/Freelance,32902.08,8888.39,700,124.8,0,2,7,45,8,0.06,27.0,0.65,0
APL300362,39,Salaried,38746.46,2254.91,726,94.0,0,2,4,44,13,0.39,5.8,0.65,0
APL300363,39,Self-Employed,68032.92,9887.32,721,106.3,0,1,3,68,21,0.303,14.5,0.65,0
APL300364,29,Gig/Freelance,33044.07,8763.9,719,96.0,0,0,6,65,10,0.118,26.5,0.65,0
APL300365,35,Salaried,44034.38,10816.18,753,92.3,0,0,1,98,25,0.329,24.6,0.6002,0
APL300366,34,Salaried,44425.4,6735.54,579,110.5,0,1,8,27,27,0.0,15.2,0.65,1
APL300367,24,Self-Employed,35051.91,5220.16,786,66.6,0,1,5,77,0,0.589,14.9,0.4701,0
APL300368,24,Salaried,25909.69,3562.85,769,83.3,0,0,8,76,3,0.11,13.8,0.5611,1
APL300369,24,Self-Employed,35051.91,5220.16,786,66.6,0,1,5,77,0,0.589,14.9,0.4701,0
APL300370,36,Gig/Freelance,76530.44,17031.19,566,91.1,0,1,5,26,22,0.0,22.3,0.65,1
APL300371,34,Salaried,55038.11,0.0,665,83.9,1,1,2,40,22,0.381,0.0,0.65,1
APL300372,29,Self-Employed,29870.16,0.0,796,73.0,0,3,0,71,8,0.537,0.0,0.5099,0
APL300373,38,Salaried,12000.0,0.0,636,93.2,0,3,4,33,23,0.184,0.0,0.65,1
APL300374,26,Salaried,38842.98,5066.96,618,108.8,0,3,2,59,7,0.0,13.0,0.65,1
APL300375,33,Salaried,48477.97,11192.16,770,78.3,0,0,7,8,32,0.314,23.1,0.5539,1
APL300376,35,Salaried,36167.36,11651.74,626,88.8,0,3,5,22,4,0.104,32.2,0.65,0
APL300377,34,Salaried,19669.13,2926.47,684,48.7,0,1,4,77,18,0.238,14.9,0.6266,1
APL300378,33,Self-Employed,51697.01,0.0,801,93.0,0,2,2,81,33,0.383,0.0,0.4842,1
APL300379,32,Salaried,40293.33,13507.68,500,91.0,0,4,4,47,26,0.014,33.5,0.65,1
APL300380,32,Salaried,12000.0,6526.38,588,87.3,0,4,2,73,22,0.013,54.4,0.65,1
APL300381,43,Gig/Freelance,20644.07,0.0,820,49.6,0,1,6,62,12,0.616,0.0,0.3603,0
APL300382,35,Salaried,34393.0,2572.08,643,83.2,0,6,1,59,33,0.28,7.5,0.65,0
APL300383,36,Gig/Freelance,76530.44,17031.19,566,91.1,0,1,5,26,22,0.0,22.3,0.65,1
APL300384,35,Salaried,50298.76,0.0,661,71.1,0,3,0,85,13,0.18,0.0,0.65,1
APL300385,30,Salaried,15326.75,0.0,716,83.7,0,0,3,60,8,0.082,0.0,0.65,0
APL300386,49,Salaried,37609.84,5407.01,599,113.0,0,1,3,72,48,0.049,14.4,0.65,0
APL300387,36,Gig/Freelance,58092.4,10160.31,614,88.9,0,0,5,44,4,0.259,17.5,0.65,1
APL300388,32,Self-Employed,12000.0,7805.14,661,79.7,0,2,8,6,0,0.228,65.0,0.65,0
APL300389,30,Salaried,91743.17,13762.85,700,104.7,0,1,8,63,9,0.078,15.0,0.65,1
APL300390,21,Salaried,33723.43,0.0,627,77.8,0,1,4,35,0,0.168,0.0,0.65,1
APL300391,35,Self-Employed,14677.08,0.0,786,93.3,0,2,6,74,15,0.478,0.0,0.5521,1
APL300392,22,Salaried,25423.34,5142.3,483,99.3,0,2,4,29,0,0.0,20.2,0.65,0
APL300393,29,Salaried,12000.0,0.0,749,58.4,0,1,4,69,17,0.368,0.0,0.5299,0
APL300394,37,Self-Employed,38282.33,7023.32,653,78.6,0,2,0,85,15,0.197,18.3,0.65,0
APL300395,23,Salaried,80581.89,0.0,794,65.0,0,0,8,77,29,0.557,0.0,0.3383,0
APL300396,31,Gig/Freelance,37347.51,15799.33,682,106.7,0,3,2,66,0,0.237,42.3,0.65,1
APL300397,27,Salaried,38851.42,0.0,673,107.2,0,2,4,39,13,0.003,0.0,0.65,1
APL300398,39,Salaried,49499.84,0.0,661,61.4,0,2,5,74,39,0.235,0.0,0.6438,0
APL300399,23,Salaried,14617.16,0.0,662,52.1,0,2,3,34,5,0.0,0.0,0.65,0
APL300400,40,Salaried,26866.27,0.0,714,88.6,0,2,6,46,29,0.35,0.0,0.65,0
APL300401,24,Salaried,52219.46,7733.81,618,133.4,0,0,6,34,16,0.0,14.8,0.65,0
APL300402,29,Gig/Freelance,33044.07,8763.9,719,96.0,0,0,6,65,10,0.118,26.5,0.65,0
APL300403,35,Self-Employed,34080.37,7175.65,813,53.6,0,0,4,84,2,0.63,21.1,0.383,0
APL300404,30,Self-Employed,23944.89,7164.52,650,104.1,0,3,7,31,0,0.011,29.9,0.65,0
APL300405,38,Salaried,31105.32,9215.67,759,70.0,0,0,3,62,45,0.377,29.6,0.5329,1
APL300406,31,Salaried,25120.54,0.0,705,70.5,0,1,6,73,9,0.277,0.0,0.6239,1
APL300407,30,Salaried,34976.37,7796.74,797,43.9,0,0,6,51,21,0.636,22.3,0.3854,0
APL300408,44,Self-Employed,40268.48,14113.3,751,122.4,0,2,2,73,11,0.393,35.0,0.65,1
APL300409,44,Self-Employed,40268.48,14113.3,751,122.4,0,2,2,73,11,0.393,35.0,0.65,1
APL300410,22,Gig/Freelance,34875.53,0.0,736,83.6,0,1,2,18,3,0.32,0.0,0.6334,0
APL300411,48,Self-Employed,26429.49,0.0,695,90.7,0,5,3,52,30,0.254,0.0,0.65,0
APL300412,25,Self-Employed,86495.55,0.0,626,97.4,0,3,4,78,12,0.007,0.0,0.65,1
APL300413,32,Salaried,16128.19,2702.67,711,89.6,0,1,3,40,16,0.36,16.8,0.65,0
APL300414,30,Salaried,15326.75,0.0,716,83.7,0,0,3,60,8,0.082,0.0,0.65,0
APL300415,31,Gig/Freelance,37347.51,15799.33,682,106.7,0,3,2,66,0,0.237,42.3,0.65,1
APL300416,32,Self-Employed,92114.04,14439.82,670,62.5,0,2,6,61,24,0.254,15.7,0.65,0
APL300417,43,Gig/Freelance,12000.0,0.0,719,76.9,0,1,8,121,29,0.157,0.0,0.603,0
APL300418,31,Salaried,14547.59,3365.19,701,63.1,0,0,5,53,6,0.31,23.1,0.634,0
APL300419,33,Self-Employed,51697.01,0.0,801,93.0,0,2,2,81,33,0.383,0.0,0.4842,1
APL300420,32,Salaried,48201.63,12478.0,816,63.8,0,2,3,42,0,0.655,25.9,0.4705,0
APL300421,43,Self-Employed,52135.27,12092.97,716,94.6,0,2,6,82,39,0.449,23.2,0.65,0
APL300422,25,Salaried,12000.0,3965.07,722,58.8,0,2,5,91,0,0.276,33.0,0.6169,1
APL300423,40,Salaried,30205.19,0.0,794,59.9,0,1,3,88,41,0.457,0.0,0.4042,0
APL300424,23,Salaried,45909.18,0.0,630,47.8,0,4,4,35,12,0.11,0.0,0.65,1
APL300425,27,Salaried,43242.34,9922.84,780,104.6,0,0,4,71,19,0.444,22.9,0.5754,1
APL300426,27,Salaried,43242.34,9922.84,780,104.6,0,0,4,71,19,0.444,22.9,0.5754,1
APL300427,30,Salaried,20591.73,5048.19,758,67.9,0,2,5,87,0,0.146,24.5,0.5845,1
APL300428,30,Self-Employed,31317.53,3744.29,618,103.2,0,3,5,61,22,0.237,12.0,0.65,1
APL300429,25,Student/Intern,64162.26,0.0,734,76.3,0,0,4,49,5,0.32,0.0,0.5407,1
APL300430,30,Salaried,21220.07,3073.35,635,105.0,0,5,6,80,41,0.256,14.5,0.65,0
APL300431,21,Salaried,20579.49,0.0,653,87.0,0,2,4,47,0,0.185,0.0,0.65,1
APL300432,21,Salaried,49208.54,10508.85,653,109.7,0,0,6,31,0,0.2,21.4,0.65,1
APL300433,33,Student/Intern,32874.14,10403.85,629,80.9,0,2,4,51,10,0.195,31.6,0.65,0
APL300434,34,Salaried,29135.67,6754.7,751,82.7,0,0,8,54,4,0.301,23.2,0.598,1
APL300435,34,Salaried,16289.08,964.58,651,65.0,0,0,6,56,15,0.204,5.9,0.65,1
APL300436,38,Self-Employed,29973.6,0.0,782,52.4,0,2,2,70,36,0.431,0.0,0.443,1
APL300437,39,Salaried,29125.05,6645.55,671,86.3,0,4,8,90,32,0.229,22.8,0.65,0
APL300438,44,Self-Employed,63787.81,13088.56,792,62.7,0,2,10,69,32,0.378,20.5,0.4667,0
APL300439,26,Salaried,38842.98,5066.96,618,108.8,0,3,2,59,7,0.0,13.0,0.65,1
APL300440,35,Student/Intern,21967.15,0.0,762,77.0,0,2,5,80,22,0.42,0.0,0.5405,0
APL300441,35,Gig/Freelance,26931.47,6022.42,712,86.9,0,1,3,57,16,0.308,22.4,0.65,0
APL300442,35,Salaried,15222.34,0.0,726,93.1,0,1,3,116,18,0.059,0.0,0.65,1
APL300443,24,Self-Employed,24794.51,2048.75,784,48.8,0,1,2,73,15,0.323,8.3,0.4519,0
APL300444,32,Salaried,22209.33,5177.6,798,55.9,0,1,5,20,16,0.386,23.3,0.47,1
APL300445,34,Self-Employed,18550.7,6725.38,748,57.9,0,1,5,51,17,0.401,36.3,0.5571,0
APL300446,26,Salaried,16218.83,0.0,603,69.2,0,3,6,70,4,0.0,0.0,0.65,0
APL300447,39,Salaried,25633.76,6348.3,695,109.8,0,4,3,74,23,0.081,24.8,0.65,1
APL300448,27,Self-Employed,29071.95,2824.63,734,70.3,0,0,4,74,6,0.47,9.7,0.559,0
APL300449,27,Self-Employed,32058.58,0.0,721,91.3,0,3,3,65,9,0.187,0.0,0.65,1
APL300450,25,Salaried,22666.33,0.0,774,56.3,0,0,3,26,6,0.447,0.0,0.4789,0
APL300451,30,Gig/Freelance,32797.21,115.34,711,52.9,0,3,10,53,4,0.072,0.4,0.6245,1
APL300452,38,Self-Employed,24759.79,3141.75,642,93.1,0,2,5,63,25,0.237,12.7,0.65,0
APL300453,36,Salaried,30787.16,0.0,769,64.7,0,0,3,87,16,0.343,0.0,0.4683,1
APL300454,47,Salaried,44753.65,0.0,773,82.2,0,1,5,120,35,0.544,0.0,0.4494,1
APL300455,30,Salaried,18115.19,923.92,705,71.0,0,3,2,67,9,0.136,5.1,0.65,1
APL300456,33,Salaried,15692.48,5372.43,684,66.7,0,1,1,59,17,0.224,34.2,0.65,0
APL300457,39,Self-Employed,36553.9,0.0,846,46.6,0,0,3,58,33,0.761,0.0,0.2701,1
APL300458,39,Salaried,30805.95,2007.68,674,74.4,0,1,7,75,30,0.364,6.5,0.65,1
APL300459,28,Salaried,26139.27,535.54,858,83.4,0,1,7,100,22,0.592,2.0,0.3503,0
APL300460,38,Student/Intern,53662.56,8786.85,720,98.7,0,2,5,54,7,0.312,16.4,0.65,0
APL300461,33,Salaried,47614.75,8742.01,741,47.5,0,0,6,48,33,0.334,18.4,0.4944,0
APL300462,40,Salaried,12028.64,9223.62,798,52.0,0,1,6,81,19,0.66,76.7,0.4401,0
APL300463,27,Self-Employed,18326.31,0.0,749,68.3,0,1,8,40,0,0.252,0.0,0.5771,1
APL300464,34,Salaried,42986.22,0.0,693,80.9,0,3,4,46,23,0.237,0.0,0.65,0
APL300465,31,Self-Employed,35526.99,4031.96,647,85.7,0,4,3,50,29,0.214,11.3,0.65,0
APL300466,35,Self-Employed,17256.73,0.0,763,85.5,0,1,4,99,12,0.401,0.0,0.5527,0
APL300467,44,Self-Employed,63787.81,13088.56,792,62.7,0,2,10,69,32,0.378,20.5,0.4667,0
APL300468,42,Student/Intern,28877.01,6967.43,746,90.2,0,0,9,96,5,0.332,24.1,0.6026,0
APL300469,32,Self-Employed,22271.07,7359.08,777,62.0,0,1,10,66,13,0.405,33.0,0.5106,0
APL300470,31,Salaried,26184.46,9120.28,651,109.9,0,4,2,29,4,0.249,34.8,0.65,0
APL300471,31,Salaried,47469.15,5709.88,731,96.2,0,2,7,82,0,0.464,12.0,0.6472,0
APL300472,29,Salaried,42080.04,0.0,785,73.5,0,2,3,139,0,0.375,0.0,0.4668,0
APL300473,22,Salaried,47605.97,4845.78,808,74.4,0,0,8,80,0,0.331,10.2,0.4343,1
APL300474,21,Self-Employed,18456.55,2377.42,739,107.9,0,0,7,71,0,0.428,12.9,0.65,1
APL300475,28,Salaried,30111.37,0.0,693,44.0,0,2,8,65,6,0.102,0.0,0.6101,0
APL300476,33,Self-Employed,35962.23,9097.36,753,79.9,0,1,5,63,6,0.241,25.3,0.6063,0
APL300477,40,Salaried,17546.6,0.0,864,63.3,0,0,10,88,8,0.52,0.0,0.3077,0
APL300478,34,Student/Intern,29668.33,5480.76,695,82.5,0,4,5,86,7,0.059,18.5,0.65,0
APL300479,38,Self-Employed,13321.42,6646.02,814,94.1,0,2,3,104,22,0.388,49.9,0.5367,1
APL300480,37,Self-Employed,51405.9,8235.18,630,74.5,0,2,2,72,38,0.026,16.0,0.65,1
APL300481,36,Self-Employed,16468.87,0.0,706,71.1,0,1,4,68,33,0.256,0.0,0.6255,1
APL300482,36,Student/Intern,33546.41,9882.41,834,58.8,0,1,6,59,4,0.58,29.5,0.3999,0
APL300483,29,Salaried,33516.74,0.0,773,73.4,0,0,2,41,29,0.392,0.0,0.4942,0
APL300484,27,Salaried,19710.59,0.0,750,52.8,0,0,4,89,0,0.292,0.0,0.4955,1
APL300485,36,Salaried,34239.72,9134.2,760,105.4,0,1,5,75,1,0.387,26.7,0.6444,1
APL300486,31,Self-Employed,35526.99,4031.96,647,85.7,0,4,3,50,29,0.214,11.3,0.65,0
APL300487,29,Salaried,85418.84,0.0,740,46.3,0,1,3,49,24,0.238,0.0,0.4434,0
APL300488,34,Salaried,18570.18,0.0,709,73.6,0,1,4,33,29,0.161,0.0,0.6495,0
APL300489,31,Salaried,14547.59,3365.19,701,63.1,0,0,5,53,6,0.31,23.1,0.634,0
APL300490,33,Self-Employed,14815.39,3219.0,697,81.3,0,1,5,3,21,0.297,21.7,0.65,1
APL300491,40,Salaried,87097.39,21272.53,681,76.4,0,1,4,71,34,0.154,24.4,0.65,0
APL300492,21,Salaried,14464.06,5139.53,754,66.6,0,1,6,61,5,0.187,35.5,0.585,1
APL300493,43,Salaried,28690.87,3490.3,848,77.6,0,2,7,116,46,0.355,12.2,0.3724,0
APL300494,25,Salaried,16318.56,0.0,605,115.8,0,1,7,42,11,0.053,0.0,0.65,0
APL300495,21,Salaried,57793.85,8833.23,736,94.1,0,0,4,54,4,0.237,15.3,0.635,0
APL300496,31,Salaried,27049.61,2870.03,687,102.9,0,1,2,39,6,0.24,10.6,0.65,1
APL300497,22,Salaried,25423.34,5142.3,483,99.3,0,2,4,29,0,0.0,20.2,0.65,0
APL300498,27,Self-Employed,32058.58,0.0,721,91.3,0,3,3,65,9,0.187,0.0,0.65,1
APL300499,27,Self-Employed,25296.97,2843.37,704,98.8,0,1,3,83,0,0.034,11.2,0.65,0
APL300500,34,Salaried,85345.31,9109.28,637,100.6,0,0,2,71,12,0.014,10.7,0.65,1
APL300501,39,Salaried,21957.03,6577.68,802,85.1,0,2,6,88,14,0.511,30.0,0.5189,0
APL300502,29,Self-Employed,29870.16,0.0,796,73.0,0,3,0,71,8,0.537,0.0,0.5099,0
APL300503,34,Self-Employed,34099.84,11264.17,832,79.9,0,2,6,88,4,0.495,33.0,0.4704,1
APL300504,27,Salaried,38851.42,0.0,673,107.2,0,2,4,39,13,0.003,0.0,0.65,1
APL300505,39,Salaried,44365.33,12178.83,790,75.2,0,1,5,64,39,0.569,27.5,0.4865,1
APL300506,29,Self-Employed,15752.47,0.0,774,78.8,0,0,6,56,20,0.43,0.0,0.5096,1
APL300507,31,Salaried,35949.75,0.0,828,32.6,0,1,5,77,0,0.579,0.0,0.2975,0
APL300508,36,Self-Employed,82142.83,0.0,605,77.8,1,0,5,79,19,0.055,0.0,0.65,1
APL300509,45,Salaried,12000.0,6399.8,703,92.3,0,2,3,27,41,0.241,53.3,0.65,1
APL300510,40,Salaried,12028.64,9223.62,798,52.0,0,1,6,81,19,0.66,76.7,0.4401,0
APL300511,39,Self-Employed,24176.3,4810.86,623,87.6,0,1,7,63,37,0.177,19.9,0.65,0
APL300512,40,Salaried,12028.64,9223.62,798,52.0,0,1,6,81,19,0.66,76.7,0.4401,0
APL300513,40,Gig/Freelance,16347.44,2082.0,737,81.4,0,2,8,47,9,0.292,12.7,0.6444,1
APL300514,34,Self-Employed,30516.33,0.0,612,67.2,0,3,2,67,7,0.0,0.0,0.65,1
APL300515,37,Salaried,17672.98,6646.56,685,65.2,0,2,5,37,24,0.301,37.6,0.65,1
APL300516,37,Salaried,49442.36,0.0,742,79.3,0,2,5,104,19,0.417,0.0,0.5374,0
APL300517,27,Salaried,20139.1,11196.85,672,96.7,0,2,4,36,9,0.101,55.6,0.65,0
APL300518,23,Salaried,18097.0,2586.65,727,88.1,0,1,5,59,0,0.158,14.3,0.65,1
APL300519,40,Salaried,34381.94,0.0,742,79.5,0,4,5,97,30,0.56,0.0,0.5757,1
APL300520,29,Self-Employed,19162.39,0.0,620,60.0,0,1,4,29,25,0.246,0.0,0.65,1
APL300521,28,Self-Employed,12444.28,0.0,684,89.6,0,3,4,77,7,0.287,0.0,0.65,0
